noun_phrase,frequency
Advice,2
Nonstandard Criteria,2
Immunocomputing,2
Explanation,2
Inference Rules,2
Comparable,2
Bayesian Nonparametric,2
Q-Learning,2
Privacy-Related Aspects,2
Maxent,2
Learning Graphical,2
Multistrategy,2
Ensemble Learning,2
Speedup Learning,2
Consolidation,2
Graph Mining,2
Temporal Difference,2
Invention,2
Graphmining,2
Inverted Deduction,2
Agent-Based Simulation,2
Non-Parametric Methods,2
Within-Sample,2
Domains,2
Ockham 's,2
Hidden Context,2
DBN,2
Spatialization,2
Implication,2
Neighbor Methods,2
Explanation-Based Generalization,2
Confirmation,2
Associative,2
Random Subspaces,2
Lifelong,2
Side Observations,2
Inverse,2
Quality Threshold,2
Belief State,2
Agent Behaviors,2
Local Feature,2
Unknown Attribute,2
Gram,2
Nonnumerical Data,2
Relational Domains,2
Categorization,2
Heuristic,2
Rewards,2
Positive Rate,2
Cumulative,2
Saturation,2
SDP,2
Armed Bandit,2
Speech Tagging,2
ARL,2
SMT,2
Epsilon,2
Hint,2
Immune-Inspired,2
Structured Domains,2
Structural Risk,2
PCFG,2
Dimensionality Reduction,2
Case-Based,2
Coevolution,2
Negative,2
Reinforcement,2
Feature Maps,2
Liquid,2
State Machine,2
Backprop,2
Minimum Message,2
Internal,2
Model Control,2
Absolute Deviation,2
ACO,2
Ratio,2
Marketing,2
Worlds,2
Lift Modeling,2
AIS,2
Click-Through Rate,2
CTR,2
Artificial Societies,2
Markovian Decision,2
TD-Gammon,2
Certainty,2
Equivalence Principle,2
Trait,2
Positive,2
Overtraining,2
EP,2
Market,2
Basket Analysis,2
Negative Correlation,2
Medoids,2
Structured Data,2
MOO,2
LWR,2
Lazy,2
Cost-Sensitive,2
LWPR,2
Preference,2
Complex Data,2
Nets,2
Discriminant,2
Binning,2
Traces,2
Piecewise Linear,2
Efficient Exploration,2
Learning Word,2
General-to-Specific,2
Temporal Data,2
Value,2
Bottom,2
Coevolutionary,2
Associative Bandit,2
Random Decision,2
PCA,2
Consensus,2
Epoch,2
General Than,2
Expert Advice,2
Locally Weighted,2
Latent Class,2
Biomedical Informatics,2
Accuracy,2
Biological Learning,2
Synaptic Plasticity,2
Hebb Rule,2
Discriminative,2
Receiver Operating,2
Characteristic Analysis,2
Generative,2
Discriminative Learning,2
EFSC,2
MCMC,2
Resonance Theory,2
Context-Sensitive,2
Neuroevolution,2
Curse,2
Dimensionality,2
Cost-to-Go Function,2
Sense Discrimination,2
Basket,2
Confusion,2
Agent-Based Modeling,2
Lessons-Learned Systems,2
POMDPs,2
Relevance,2
Cascor,2
Averaged One-Dependence,2
Semi-supervised,2
PAC-MDP,2
ART,2
Transductive,2
More Specific,2
Merge-Purge,2
McDiarmid 's,2
Growing,2
Itemset,2
Genetic Attribute,2
Relational Learning,2
Adaboost,2
NC-Learning,2
Threshold Phenomena,2
Boltzmann Machines,2
TF-IDF,2
Recall,2
Similar Point,2
Learning Algorithms,2
Link Discovery,2
Collection,2
Occam 's,2
Metaheuristic,2
Bilingual Lexicon,2
a Stream,2
Learning Theory,2
Match,2
Mixture Model,2
PAC,2
Explanation-Based Learning,2
Node,2
Neighbor,2
Empirical Risk,2
Program Synthesis,2
Qualitative Information,2
Inductive Program,2
Evolutionary Games,2
Locality Sensitive,2
Genetics-Based Machine,2
In-Sample,2
Instances,2
Imitation,2
Intent,2
Maximum Entropy,2
Propositionalization,2
Zero-One,2
Commercial,2
ROC,2
Negative Rate,2
Latent Factor,2
Matrix Factorizations,2
CC,2
Connection,2
Strength,2
Backpropagation,2
Plan,2
Particle,2
Swarm Optimization,2
Query-Based,2
Novel Applications,2
Cuts,2
Opinion,2
Feature Subset,2
First-Order,2
Log-Linear,2
ARTDP,2
Class Imbalance,2
Samuel 's,2
Player,2
Item,2
IT Security,2
Explanation-Based,2
Learning Models,2
Biological Sequences,2
LOO,2
Nonparametric Cluster,2
Contrast,2
Policy Gradient,2
Adaptive Systems,2
Stump,2
Bake-Off,2
News,2
Blogs Analysis,2
1-Norm,2
Directed Backtracking,2
Editing,2
Temporal Credit,2
Assignment,2
Weight,2
Correlation-Based,2
POS,2
Tagging,2
TAN,2
Nonvectorial Data,2
Idiot 's,2
Bayes,2
Label,2
Predictive Techniques,2
AQ,2
Unsupervised,2
Long-Term Potentiation,2
Observation,2
Pruning,2
Learning Curves,2
Radial Basis,2
Overall,2
Class-Sensitive Frequencies,2
NP-Completeness,2
Cross-Lingual,2
Bounded Differences,2
Property,2
Instance,2
Out-of-Sample,2
Sense Disambiguation,2
Model Performance,2
Kernels,2
Committee Machines,2
Logical Regression,2
Rate,2
Overfitting,2
Cross-Validation,2
Statistical Machine,2
Translation,2
Entailment,2
Neuron,2
Predictive Software,2
Specialization,2
Drift,2
Actions,2
Semi-Supervised,2
Piecewise,2
Constant Models,2
Semantic Ambiguity,2
Typical Complexity,2
Hidden Markov,2
Kernel Learning,2
Adaptive Control,2
Dirichlet,2
Subsumption,2
AODE,2
Unknown Values,2
Correct Learning,2
Simple Bayes,2
EBL,2
Spectre Attacks,1
Meltdown,1
An Evaluation,1
1994 Edition,1
Edition,1
DARWIN,1
Heterogeneous,1
Object Management,1
Object-Oriented Applications,1
MetaObject Protocol,1
Muffin,1
Database Machine,1
a Generalization,1
Relational DBMS,1
Inheritance,1
improvements,1
Value ADTs,1
Unification,1
Algebraical Optimization,1
FTA-Expressions,1
Maschinelles Lernen,1
STUF,1
Definite Resolution,1
Constraint Languages,1
Dokumentation,1
LILOG-Grammatik,1
Cognitive Linguistics,1
The Processing,1
Spatial Concepts,1
Closure Computation,1
VSE,1
Full Prolog,1
zur persistenten,1
dreiwertigen Theorembeweisers,1
Inheritance Implemented,1
Top,1
LMT,1
Implementation Aspects,1
Sort Processing,1
Darstellung von,1
Attributive Concept,1
Descriptions,1
Unions,1
E-Unifikation,1
Generelle Probleme,1
The Institute,1
tableau-basierten Theorem-Beweiser,1
Adjektiven,1
the Interpretation,1
orientierter Inkrementeller,1
orientierter,1
Inkrementeller,1
Integrierter Generator,1
Texte,1
Reisebeschreibung,1
Dictionary Dialog,1
Benutzerschnittstelle,1
Funktion,1
Semantische Relation,1
Zur,1
Computational aspects,1
three-valued logic,1
Der Lambek-Kalk,1
Symmetric Coordination,1
Phrase Structure,1
the Problem,1
Masking,1
Special Errors,1
von Wegbeschreibungen,1
Expert-System,1
PROLOG III,1
Dynamic Algebras,1
attributive Sortenbeschreibungssprache,1
Richtungsangabe oder,1
Wegkonnektor,1
Fully Persistent,1
trees,1
Ease,1
AT,1
von LEU/2,1
Erfahrungen,1
Temporales Schlie,1
Zur intelligenten,1
The Semantics,1
Clauses,1
the WAM,1
Word Order,1
Focus Projection,1
KL-ONE,1
the Concurrency,1
Integrity Checks,1
Write Operations,1
Ihre Logik,1
Wissensbasierte Systeme,1
der Medizin,1
GMDS/GI,1
Abstracts,1
des 1,1
An Environment,1
Experimentation,1
Parsing Strategies,1
Multiword Lexemes,1
Generalized Clauses,1
Quantitative Analysen,1
Lexical Representation,1
Idioms,1
Representation System,1
Mengenkonzepte,1
Unifikationsgrammatiken,1
The Gamma-0,1
deutschen Verben,1
der Computermorphologie,1
Domain Restriction,1
Other Kinds,1
inverse Resolution,1
mit PROTOS-L,1
Zum,1
Begriff,1
Argumentstruktur,1
Version 2.0,1
Constraint Logics,1
Unification Grammars,1
Ein Transaktionskonzept,1
Disjunctive Unification,1
the Role,1
the Projection,1
Presuppositions,1
Database Manipulations,1
RENDEZVOUS Version,1
Casual Users,1
Modals,1
the Scope,1
Optionality,1
HPSG,1
Some Properties,1
German,1
Tableau Calculus,1
Parsingstrategien,1
Sort-Lattice Management,1
Relational Dependencies,1
Knowledge Processing,1
Zur Syntax,1
um,1
Strategien,1
Pronominalisierung,1
Index Path,1
Length Evaluation,1
System R.,1
Der Film,1
das Publikum,1
Zum Aufbau,1
Operationen,1
erweiterten Typunifikationsformalismen,1
WebS,1
Statistische Untersuchungen,1
Proceedings,1
Linguistische,1
und logische,1
Projektbeschreibung,1
Mathematical Logic,1
Syntaktische Merkmale,1
deutsche,1
Substantive,1
der Maschinellen,1
Untersuchung,1
Stepwise,1
Algebraic Specifications,1
The Knowledge,1
Eine Prolog-Theorie,1
User Manual,1
LEU II,1
Files,1
Input-Output,1
Knowledge-Based Methods,1
Zur Verarbeitung,1
von Constraints,1
Pluralbehandlung,1
Justified Causation,1
Some Remarks,1
Nonmonotonic,1
Temporal Reasoning,1
Anaphora Resolution,1
TLPROLOG,1
V. 2.0,1
Intermediate Report,1
Version 1.0,1
der Softwareentwicklung,1
Subsorts,1
Draft Report,1
An Algebra,1
Finding Irregularities,1
Compilation,1
Complex DATALOG,1
Stratified Negation,1
Interaktion von,1
An,1
N-ary,1
Relational Memory,1
Attributive Descriptions,1
Untersuchungen,1
zum,1
Grundwortschatz,1
Ein modularer,1
erster Stufe,1
Positional Variation,1
Sorts,1
Reference Objects,1
Derivationsmorphologie,1
Wegbeschreibung,1
Projekt,1
Lexika '',1
FLL,1
Feature Unification,1
Das Problem,1
der,1
der Sachverhaltsanaphern,1
Erster EXCEPT-Workshop,1
A Calculus,1
Order-Sorted Predicate,1
Sort Literals,1
Persistente Datenspeicherung,1
einer logischen,1
deduktiven Datenbanken,1
Integration eines,1
Datenbanksystems,1
eine Logikprogrammiersprache,1
Feature Algebras,1
Level Analysis,1
Belief Revision,1
Complex Clauses,1
und Unsicherheitsbewertungen,1
Unifikation und,1
The FLL-Approach,1
Integration unterschiedlicher,1
lexikalischer Resourcen,1
Linguistic Knowledge,1
STUF ',1
Spezifikation,1
Textgenerierung,1
wie,1
einem Auskunftssystem,1
Model Theoretic,1
THOR,1
A System,1
Equational Theories,1
Syntactic Processing,1
Unknown Words,1
Planning Systems,1
Wortbedeutungen und,1
Non-Monotonic Logics,1
Spatial Knowledge,1
Variable Subkategorisierung,1
Presupposition,1
Anaphora,1
Lexical Content,1
VM/370,1
An Integrity,1
Wissensbasen,1
The Algebra,1
Discourse Referents,1
Gebietskonstituierende Prozesse,1
Terminological Reasoning,1
Extension,1
A Model,1
Discourse Particles,1
Chart-Parsing,1
Unification-Based Grammars,1
ID/LP-Rules,1
Transitive Closure,1
New Aspects,1
Domain-Specific Knowledge,1
Version 3.3,1
LILOG Prototype,1
Grammar Documentation,1
The Compilation,1
Ein Lernverfahren,1
Stability Analysis,1
OBDD Algorithms,1
Duality Bounds,1
Nonconvex Optimization,1
Nonuniform Grids,1
Basis Design,1
Nonlinear Continuous,1
Polytope Containment,1
Linear Probes,1
Convolution Algorithms,1
Solution Kit,1
A QQP-Minimization,1
Semidefinite,1
Optimal OBDD,1
's,1
Control Problems,1
Input Data,1
PSB-Update,1
Fast Generation,1
Networks Simulation,1
Wavelength Routing,1
Interprocedural Analysis,1
PDAs,1
Mod-2-OBDD 's,1
A Generalization,1
EXOR-Sum-of-Products,1
OBDD Minimization,1
Complete Families,1
Invariant Distributions,1
We,1
Synthesizing OBDDs,1
Lagrange-Duality,1
Partitioning Techniques,1
Automatic Parallelization,1
Attribute Certificates,1
Approximate Analysis,1
Multi-Queue Stations,1
1-Limited Service,1
Tree Complexity,1
Some Number,1
Theoretic Problems,1
Efficient Sets,1
Expression DAGs,1
the Queue-Length-Distributions,1
GE/1 Queue,1
Repetitive-Service Blocking,1
Quasiconvex-Concave Programs,1
Semi-Markov Processes,1
MAPs,1
an Application,1
Queueing Theory,1
Dissemination Service,1
Personal,1
Matching,1
the Efficient,1
Hilbert Space,1
PODs,1
Lanczos Methods,1
Unambiguity,1
Pushdown Automata,1
PDE-model,1
Prox-Regularization,1
Kommunikationssystemen,1
die Grundlagen,1
Queueing Models,1
External Tangents,1
Closedness,1
Block-Restricted Reordering,1
Extended Experiments,1
Graph Models,1
Mobiles,1
Access Areas,1
the Reconstruction,1
Binary Images,1
Their,1
Discrete Radon,1
Global Minimization,1
Concave Minorants,1
Stochastic Simulation,1
Classes,1
WWW.BDD-PORTAL.ORG,1
Neue Ergebnisse,1
Geometric Sums,1
Polytope Projection,1
Projection Polytopes,1
Interior-Point-Strategies,1
Some Heuristics,1
Generating,1
Global Convergence,1
Inexact,1
SQP Methods,1
Virtual Connections,1
Fast Networks,1
Discrete Tomography,1
X-Rays,1
Socle Series,1
Minkowski Addition,1
Succinct Solvers,1
Non-paramonotone Operators,1
Wavelength Allocation,1
The WWW,1
EDA,1
Usability evaluation,1
OBDD-heuristics,1
Biconcave,1
Optimal Control,1
Food Industry,1
an Example,1
Reachability Analysis,1
Unary Problems,1
Decision Diagrams,1
A Branch,1
Tensor Formulae,1
the Solution,1
Multiplicative Structure,1
Nonlinear Equations,1
State Encodings,1
OBDD-Sizes,1
Functional Quantization,1
Sequential Task-Processing,1
Prox-Regularization Method,1
One Strike,1
weltweiter Benutzung,1
Matches,1
Tree Patterns,1
Generalized Supermartingales,1
Continous Parameter,1
Spectral Lower,1
Arguments,1
Optimal Allocation,1
Jobs,1
Incompatible Jobs,1
The BMAP/G/1,1
Stochastic Constraint,1
Certain Graph-Accessability-Problems,1
Bounded Alternating,1
Multiphase Flow,1
the Rareness,1
the Class,1
A Tool,1
Symmetric Functions,1
AC,1
Minkowski 's,1
The Fork95,1
Algorithmic Considerations,1
OBDD,1
Reordering,1
Largest,1
j-Simplices,1
n-Polytopes,1
The Complexity,1
Crossingfree Configurations,1
the Plane,1
Weak Error,1
Tolerance Criterion,1
Modular Partitioning,1
Image Computation,1
A Rainbow,1
T-Colorings,1
Complete Graphs,1
Convergence Rate,1
Generalized Coloring,1
Tree-like Graphs,1
Convex Programming,1
Non-isothermal Multiphase,1
Multicomponent Flow,1
Porous Media,1
Penalty Method,1
Hilbert Spaces,1
Communication Games,1
TI-jPACS,1
eine frei,1
visualisierung,1
One Step,1
Electronic Submission,1
the Reviewing,1
Solution Methods,1
Multi-Queue Systems,1
Maxima,1
Secant Methods,1
Ein Newtonverfahren,1
Product Form,1
No-Waiting Stations,1
IDDS,1
Language Support,1
The complexity,1
OBDD-based Verification,1
the Verification,1
Helly 's,1
Parameter Estimation,1
BMAPs,1
Variable Reordering,1
A Modal,1
micro,1
Durational,1
Feedback Operators,1
Hyperbolic,1
Efficient Manipulation,1
Polynomial Time,1
Regularisierte Strafmethoden,1
Communication Networks,1
Customers,1
j-RADII,1
Explicit,1
Form,1
Utility Function,1
Processor Allocation,1
Interval Orders,1
Some Bounds,1
Unrelated Processors,1
Decomposition Algorithms,1
Much ExOR,1
PF-Queueing Networks,1
Zur Berechnung,1
the Distribution,1
Explosions,1
Optimization Properties,1
Phasentyp-Verteilungen,1
ECCC,1
MMB ',1
Messung,1
und Kommunikationssystemen,1
General Systems,1
Equations,1
LOGSPACE,1
Respect,1
Decision Graphs,1
MAPA/G/K,1
K Stations,1
its Comparison,1
Stable Methods,1
Monotone Operators,1
Monotonous,1
Oracle Machines,1
Multiparity Games,1
Pointer Jumping,1
Interprocedural Invariants,1
Variations Ranks,1
the Graph-Accessability-Problem,1
Lock-Keeper Technology,1
Priority Queues,1
FBDD 's,1
xor-OBDDs,1
Exact Analysis,1
Operator-Geometric Solutions,1
its Variants,1
The Graph,1
Integer Multiplication,1
Read-k-Times Networks,1
short notes,1
Smoothing,1
Generalized max-Functions,1
epsilon-Regularization,1
Continuous Deformations,1
OBDD-Minimization,1
the Expressiveness,1
Operators,1
Their Significance,1
Polynomial Constants,1
Spatial Generalization,1
BMAP 's,1
Generalized Bisection,1
N-Simplices,1
Practical PRAM,1
Fork95,1
Theoretical Problems,1
Annuity Funds,1
Register Allocation,1
The Theory,1
Optimal Sampling,1
Continuous Time,1
Inexact SQP,1
Formal Verification,1
Protocol Compiler,1
Regularisation,1
Nonconvex Problems,1
Finite Limits,1
Circuits Size,1
Fast,1
Xor-OBDDs,1
Medizinische Bildverarbeitung,1
Local Convergence,1
Uniformity,1
Oracles,1
Spatial BMAPs,1
Primal-Dual Contraint,1
A Pre-Dual,1
Propositional Proofs,1
Their Complexity,1
Nonapproximability,1
Spatial Queues,1
OBDD-Representations,1
Dual Characterization,1
Super-Hedging Prices,1
dem CAD-Schaltkreisentwurf,1
State Constraints,1
Inhomogeneous BMAPs,1
The Structure,1
Linear Transfer,1
ForkLight,1
Improving XOR-Node,1
Hyperplanes,1
their X-Rays,1
the Power,1
Polynomial Bit-Reductions,1
Cross-Positive Matrices,1
Revisited,1
Vom M/G/1,1
zum BMAP/G/1-Modell,1
The Disjoint,1
Cliques Problem,1
Stability Conditions,1
CASE,1
XSL,1
Internet Draft,1
HTTP/11,1
1.0,1
first edition,1
XQuery,1
Query Use,1
XML-QL,1
Query Requirements,1
The XML,1
Query Algebra,1
The w3c,1
December 1998,1
Boston,1
MA,1
USA,1
WfMC Standards,1
Version 1.1,1
Page,1
KTS,1
Seven Steps,1
Rendezvous,1
Acceptance Speech,1
Relational Completeness,1
Interactive Support,1
Non-Programmers,1
The Relational,1
Network Approaches,1
Catchment classification,1
runoff behaviour,1
self-organizing maps,1
Lions ',1
UNIX,1
6th Edition,1
Source Code,1
Further Normalization,1
Relations Stored,1
DBLP.uni-trier,1
Principles of,1
The Capabilities,1
catchments,1
signature indices,1
Approaches,1
Disambiguation,1
PRPL,1
v13,1
nahmen,1
Regelbasierte Extraktion,1
Ear,1
Multi-Threaded Implementation,1
Privacy-Preserving Authentication,1
Private Key,1
Stream Authentication,1
Galois Fields,1
Naccache-Stern,1
Higher Residues,1
CLEFIA,1
Derivative Attack,1
Bomb,1
Running-Key,1
Computationally Sound,1
Proof System,1
Field Communication,1
Verification Method,1
ISMS,1
Anonymous Web,1
AryExponentiation,1
System Permissions,1
Biometric Information,1
Knapsack,1
cryptographic schemes,1
Decisional Diffie-Hellman,1
Roles,1
Ntru,1
Markup Language,1
NSS,1
SHA Family,1
Universal One-Way,1
Hash Functions,1
Smartcard,1
SEPA,1
Overrun,1
Social Perspectives,1
Information Privacy,1
Voiceprint,1
HRU,1
Biometric Passport,1
TCP SYN,1
Flooding,1
Key Infrastructure,1
2nd Ed,1
Multi-Exponentiation,1
SWP,1
Binary Functions,1
History-Based Separation,1
GCM,1
Talker,1
Run-Time Malware,1
PEM,1
Privacy-Enhanced Mail,1
Sensor Key,1
Zeroization,1
Voice Biometrics,1
Proof Systems,1
Group Key,1
Rank Codes,1
Security Implication,1
FPGAs,1
Logging,1
Hash-Based Signatures,1
DNA,1
Zeta,1
Function Computation,1
Dynamic Malware,1
DPA,1
SPKI/SDSI,1
Whirlpool,1
MD4,1
GMAC,1
TCP Reset,1
False Data,1
Injection Defense,1
MPC,1
Eavesdropper,1
Alberti,1
RBAC,1
SERPENT,1
MPKC,1
Key Agreement,1
Browser Security,1
Temporal Access,1
emanations,1
Overlay-Based DoS,1
Defenses,1
Security APIs,1
MD4-MD5,1
PUFs,1
Cryptographic Protocols,1
Platform,1
Privacy Preferences,1
P3P,1
Nym,1
escrow,1
IPSec Policy,1
Secure signatures,1
ISO 19790,1
Cryptographic Modules,1
Rank-Matric Codes,1
Modulation Attacks,1
an Hypercube,1
Radiometrics,1
M-Invariance,1
2.0 Security,1
Header Injections,1
Security Auditing,1
Chain,1
Keystream,1
Biometric Key,1
Triple,1
Clone Defense,1
Outsourced Data,1
Maxim,1
Athena,1
Initial Authentication,1
Wiretapping,1
Credential-Based Access,1
Secret Key,1
Clip,1
Scheme,1
Reverse Engineering,1
Malware Emulators,1
Cryptographic Algorithm,1
Certificate-Based Access,1
Still Images,1
Uncoordinated Direct,1
Zero-knowledge,1
Function Evaluation,1
NTRUEncrypt,1
Permissions,1
Composition,1
SHA-0,1
SHA-1,1
SHA-2,1
sar Cipher,1
Bolero.net,1
Set,1
Administrative Tools,1
Control Rules,1
Audit Logs,1
De Bruijn,1
Golomb 'S,1
Botnet Detection,1
Enterprise Networks,1
Smart/Algorithmic Denial,1
Operational Separation,1
Radio Interference,1
Dynamic Program,1
CPU Denial,1
Subscriber,1
Identity Module,1
Euclidean Algorithm,1
Shell,1
Coprime,1
Attributes,1
Penmanship,1
digital signature,1
schemes,1
Time-memory tradeoffs,1
Group Communication,1
Sample Quality,1
Android 's,1
Traffic,1
Biometric Sensors,1
Anti-DoS Cookies,1
Maa,1
Algebraic Immunity,1
Homomorphic Cryptosystems,1
Antivirus,1
Permutations,1
Integrity Verification,1
Parallelizable Message,1
Davies-Meyer Hash,1
Phenotyping,1
Runtime,1
Flow Security,1
POK,1
BSP Board,1
Support Package,1
TWOFISH,1
Factoring Challenge,1
Hash-Based Message,1
Protocol Cookies,1
Coprocessor,1
Policy Analysis,1
Mondex,1
Theorem Proving,1
IC,1
Integrated Circuit,1
Cut-and-choose,1
protocol,1
Attestation,1
Simultaneous Transactions,1
CMAC,1
Location Information,1
Privacy of,1
Root,1
Chromosome,1
MAA,1
Enigma,1
Element,1
Multidimensional Databases,1
Hijacking Attacks,1
MQPKC,1
Serpent,1
Dynamic Root,1
Recovery,1
TCG,1
PUF,1
encryption standard,1
ARIA,1
SIM/UICC,1
AHS Competition/SHA,1
-3,1
Conceptual Design,1
Secure Databases,1
Keying,1
Networks Design,1
S/MIME,1
Ary,1
Service Security,1
Preimage Resistance,1
SMC,1
Client Puzzles,1
ABA,1
Palmprint,1
Remote Programming,1
SAML,1
Decoding,1
Replication,1
Adversarial/External Knowledge,1
Indistinguishability,1
Encryptions,1
Triple-DES,1
number,1
Header-Based Attacks,1
Pseudo-Noise Sequences,1
PN-Sequences,1
CDH,1
Zero-Knowledge,1
Advanced Hash,1
Competition,1
Adware,1
Chroot,1
Jail,1
Binding,1
Emanations,1
Generic Attacks,1
DeBruijn,1
sequence,1
Heredity,1
Edwards,1
SSS,1
Polyinstantiation,1
Phi,1
Levels,1
SEI,1
Grant,1
Option,1
Cold-Boot,1
Time-Based Access,1
Nonmalleability,1
Pseudo-Noise Sequence,1
PN-Sequence,1
CRT,1
Probabilistic Key,1
Keyword-Based Retrieval,1
ACM,1
VSSS,1
Non-Malleability,1
Confirmer Signatures,1
Rule-Based Access,1
McEliece,1
Factorization Circuits,1
preimage resistance,1
Cognitive Radios,1
Speaker Biometrics,1
Escrow,1
Aggregate Signatures,1
CRYPTREC,1
Evaluation Project,1
HTTP Digest,1
Barter,1
Anomalous,1
Binary Curves,1
Temporal Authorization,1
Pseudo-random number,1
BLP,1
Static Code,1
Pairing-Based,1
Key Exchange,1
NTRU,1
SEV,1
Negotiable Instruments,1
Time-stamping,1
Binary GCD,1
Limitation,1
Numbers,1
Physical Attacks,1
Boot,1
Golomb 's,1
Device Pairing,1
PRESENT,1
Secure Data,1
card,1
DNS-Based Botnet,1
Stein 's,1
Bilinear Pairings,1
TSS,1
Injection Attacks,1
UOWHF,1
Single Wire,1
Mars,1
Blood Vessels,1
Resets,1
Md4-Md5,1
Physical Random,1
Twin Signatures,1
Output System,1
Virtual Machine,1
Introspection,1
Running-key,1
factoring challenge,1
Keeloq,1
Tiger,1
Maximal-Length,1
Privacy-Enhanced Languages,1
Secure HTTPS,1
Location Discovery,1
HECDLP,1
PRNG,1
High Assurance,1
Evaluation Methods,1
Payments,1
Segregation,1
PKI Trust,1
Agility,1
Rank-Metric Codes,1
Trust Management,1
Black,1
Box Algorithms,1
Biometric Social,1
Responsibility,1
Anthropometrics,1
Implicit Key,1
agreement,1
certificate,1
Scanner,1
Cross Site,1
Compositeness,1
permutations,1
Biometric Performance,1
Static Separation,1
HEC Acronym,1
functions,1
Discretionary Access,1
Rijndael,1
Secondary Use,1
Plaintext Attack,1
Longhand,1
Twofish,1
Radio-Frequency,1
Fingerprinting,1
Quasi-Identifier,1
Decisional,1
structure,1
Conventional,1
Browser,1
MARS,1
Sandbox,1
Static Program,1
Contactless,1
Greatest Common,1
LFSR,1
Biometric Technologies,1
International Biometric,1
E-Privacy,1
Blocking,1
QRP,1
Environmental Attacks,1
Cryptographic Puzzles,1
SPKI,1
Network Capabilities,1
Key Generation,1
Physical Properties,1
Buffer Overflow,1
Maximal-Length Linear,1
Authentication Algorithm,1
Digital Signature,1
Codes,1
Merkle-Hash-Trees Signatures,1
key,1
Computational Puzzles,1
IBE,1
ECPP,1
Classical,1
Rijndael/AES,1
APR,1
Web Penetration,1
ECM,1
Application-Level Denial,1
Control Lists,1
Passport,1
Privacy Protection,1
CCIT2-code,1
Karatsuba,1
algorithm,1
token,1
Logic-Based Authorization,1
Cryptophthora,1
Speaker,1
CAST,1
Davies-Meyer,1
Privacy in,1
Schnorr Identification,1
Entity Authentication,1
Consistency Verification,1
Security Policy,1
Web Vulnerability,1
UMTS,1
IC Card,1
NFC,1
k-Anonymity,1
GCD,1
SET,1
Trojan,1
the DLP,1
Generic,1
De-Skewing,1
Web Browser,1
esec,1
Time-Memory,1
ISO-9796,1
Signature Standards,1
Proton,1
Dynamic Separation,1
Cryptrec,1
Reconfigurable Devices,1
ML-Sequence,1
MILS,1
FAF,1
Multilevel Security,1
NTRUSign,1
CCIT2-Code,1
Mandatory Access,1
Barrett 's,1
architecture,1
Error-Correcting,1
DHP,1
Vicinity,1
Algorithmic Complexity,1
Traitors,1
Eavesdropping,1
SIV,1
Entitlements,1
Privacy-Aware,1
Wireless Multicast,1
LCM,1
Antispam,1
Sender Reputation,1
Time-Stamping,1
Random Number,1
Language Security,1
Interception,1
eSTREAM,1
Monotone Signatures,1
Exhaustion DoS,1
Trick,1
Time Password,1
Block,1
ciphers,1
Private Information,1
plaintext attack,1
Gait,1
Weak keys,1
Flooding Attack,1
Anthropometry,1
NFS,1
von,1
Neumann Correction,1
Web Access,1
Control Strategies,1
Measurement Models,1
Euclid 's,1
sar cipher,1
Iris,1
Packer,1
Number Generator,1
Multiplicative,1
Knapsack Cryptosystem,1
Autotomic Signatures,1
Client Security,1
C2,1
Algebraic,1
Number Field,1
Handwriting,1
Spam Detection,1
Network-Level Characteristics,1
Privileges,1
Site Characterization,1
Mate Choice,1
Concept Change,1
Label Budgets,1
A Benchmarking,1
Hydroclimatic Prediction,1
Droughts,1
QSAR/QSPR Studies,1
Medicinal Chemistry,1
Predictive Toxicology,1
Hydrology,1
Concrete,1
Gene-Expression Programming,1
Hydraulic Engineering,1
the Application,1
New Generation,1
Image Classification,1
Detector,1
Breast Cancer,1
Trading Volatility,1
Surrogate Models,1
GPTIPS 2,1
eCrash,1
Object-Oriented Software,1
Liquefaction Potential,1
Soil,1
Gerontological Perspectives,1
Cloud Infrastructures,1
Home Environments,1
A Reflection,1
Assistive Technology,1
Smart Homes,1
a Vehicle,1
TECNALIA 's,1
Cognitive Impairment,1
England,1
Mainstream Use,1
Daily Living,1
Key Concepts,1
the State,1
TRON Architecture,1
Future Trend,1
the Aspect,1
Japan,1
Social Spaces,1
SSRI,1
ECG Biometrics,1
A Secure,1
Effective Framework,1
Design Ethnography,1
SmartSenior,1
Intelligent Services,1
Senior Citizens,1
Biometric Monitoring,1
Behaviour,1
Chronic Conditions,1
Policy Context,1
Gait Profile,1
A Biometric,1
Our Mobility,1
Patient Monitoring,1
ICT Infrastructures,1
Telerehabilitation,1
Sensor Selection,1
Beyond System,1
Older,1
Ageing Well,1
Ambient,1
AAL Technologies,1
Lessons,1
Monitoring Patterns,1
Inactivity,1
the Home,1
Domotics Networks,1
In-Home Monitoring,1
Well-being,1
AAL Markets,1
Designing Ambient,1
Personalised Displays,1
Healthier Lifestyles,1
Guide,1
Consumer Health,1
Informatics Interventions,1
Cardiac Rehabilitation,1
Improving Interactions,1
Self-Monitoring Systems,1
Taiwan,1
Optimizing Targeting,1
Multi-Relational Characterization,1
Web 2.0,1
Social Communities,1
Online Identities,1
Social Networking,1
Concept Discovery,1
Youtube.com,1
Factorization Method,1
the Dynamics,1
Semantic Technologies,1
Human-Centered Concepts,1
Accessibility Testing,1
Social Websites,1
Tensor Decomposition,1
Graph Approach,1
Log Files,1
Online Advertising,1
