noun_phrase,frequency,wiki,score
superposition,15,0.0,0.3
accelerometers,15,0.0,0.0
branch-and-bound,15,0.0,0.9
the resilience,15,0.0,0.2
reformulation,15,0.0,0.2
coq,15,0.0,0.1
subtyping,15,0.0,0.8
monads,15,0.0,0.1
noc,15,0.0,0.2
semihypergroups,15,0.0,0.0
superpixels,15,0.0,0.2
icn,15,0.0,0.1
time-delay,15,0.0,0.4
backstepping,15,0.0,0.1
vns,15,0.0,0.2
minimalism,15,0.0,0.1
turing 's,15,0.0,1.0
congruences,15,0.0,0.0
hmms,15,0.0,0.5
kullback-leibler divergence,15,0.0,0.4
least-squares,15,0.0,1.0
variances,15,0.0,0.1
a probabilistic,15,0.0,0.4
a 2,15,0.0,0.0
pairing,15,0.0,0.2
ipmsm,15,0.0,0.0
datenbanksystemen,15,0.0,0.0
tikhonov regularization,15,0.0,0.7
self-calibration,15,0.0,0.5
plasticity,15,0.0,0.0
c#,15,0.0,0.3
editor-in-chief 's,15,0.0,0.0
x-band,15,0.0,0.0
cones,15,0.0,0.0
recursively enumerable,15,0.0,0.8
neuroinformatics,15,0.0,0.4
digitalisierung,15,0.0,0.2
schwerpunkt,15,0.0,0.1
dopamine,15,0.0,0.0
the sigs,15,0.0,0.0
artificial intelligence,330,-31557.0,1.0
ieee 802.11,162,-14762.0,0.2
pki,14,0.0,0.3
neuroimaging,14,0.0,0.1
bifurcations,14,0.0,0.2
paradoxes,14,0.0,0.1
occlusions,14,0.0,0.2
microservices,14,0.0,1.0
inductive,14,0.0,0.2
discriminative,14,0.0,0.6
object-oriented,14,0.0,0.9
collocation,14,0.0,0.6
affordances,14,0.0,0.1
bivariate,14,0.0,0.1
degeneracy,14,0.0,0.1
4.0,14,0.0,0.3
rigidity,14,0.0,0.0
thermodynamics,14,0.0,0.0
preemption,14,0.0,0.2
reciprocity,14,0.0,0.1
microblog,14,0.0,0.4
co-clustering,14,0.0,0.7
context-awareness,14,0.0,0.3
multiplicity,14,0.0,0.0
inc.,14,0.0,0.2
admissibility,14,0.0,0.3
self-regulation,14,0.0,0.0
adsorption,14,0.0,0.0
post-processing,14,0.0,0.2
digitalization,14,0.0,0.5
ccs,14,0.0,0.0
adaptability,14,0.0,0.1
sdes,14,0.0,0.4
svm classifier,14,0.0,1.0
itemsets,14,0.0,0.8
b-splines,14,0.0,1.0
unstructured meshes,14,0.0,0.9
swarms,14,0.0,0.2
3gpp,14,0.0,0.4
rayleigh,14,0.0,0.0
millimeter-wave,14,0.0,0.1
multichannel,14,0.0,0.0
iov,14,0.0,0.2
intermediaries,14,0.0,0.2
on-line,14,0.0,0.2
github,14,0.0,0.7
multilevel,14,0.0,0.3
t-s,14,0.0,0.0
petri,14,0.0,0.1
mammography,14,0.0,0.2
3-uniform hypergraphs,14,0.0,0.5
a hypergraph,14,0.0,0.5
involutions,14,0.0,0.1
tableaux,14,0.0,0.2
6lowpan,14,0.0,0.6
nondeterminism,14,0.0,0.7
superpixel,14,0.0,0.2
lagrange multipliers,14,0.0,0.4
biclustering,14,0.0,0.9
glaucoma,14,0.0,0.0
orbits,14,0.0,0.0
pedestrians,14,0.0,0.1
wearables,14,0.0,0.5
positivity,14,0.0,0.0
piezoelectric actuators,14,0.0,0.0
pll,14,0.0,0.0
vers,14,0.0,0.0
contourlet,14,0.0,0.9
a low-power,14,0.0,0.1
counterfactuals,14,0.0,0.2
the discretization,14,0.0,0.2
iterations,14,0.0,0.8
pedagogy,14,0.0,0.0
energy-efficiency,14,0.0,0.0
analysing,14,0.0,0.3
pansharpening,14,0.0,0.2
metaphysics,14,0.0,0.0
elliptic pdes,14,0.0,0.4
reconfigurable meshes,14,0.0,0.5
mm3,14,0.0,0.2
event-related potentials,37,-2398.999999982545,0.2
erfahrungen,13,0.0,0.0
mashups,13,0.0,0.3
eavesdropping,13,0.0,0.3
service-oriented,13,0.0,0.4
ethnography,13,0.0,0.0
tilings,13,0.0,0.0
p-values,13,0.0,0.0
asymptotic,13,0.0,0.2
geostatistics,13,0.0,0.2
r-trees,13,0.0,0.8
mpeg-4,13,0.0,0.3
postprocessing,13,0.0,0.5
bayes,13,0.0,0.2
piecewise,13,0.0,0.5
geolocation,13,0.0,0.5
location-based,13,0.0,0.4
3.0,13,0.0,0.3
unifying,13,0.0,0.1
multicore,13,0.0,0.4
milp,13,0.0,0.9
multicriteria,13,0.0,0.5
gabor wavelets,13,0.0,0.7
gmm,13,0.0,0.0
biomarkers,13,0.0,0.0
realizations,13,0.0,0.4
makespan minimization,13,0.0,0.5
resonances,13,0.0,0.0
augmented,13,0.0,0.3
decoupling,13,0.0,0.2
kdd,13,0.0,0.3
selectivity,13,0.0,0.0
higher-order,13,0.0,0.5
derivations,13,0.0,0.0
decentralization,13,0.0,0.3
multicomputers,13,0.0,0.7
narratives,13,0.0,0.0
inefficiency,13,0.0,0.1
aversion,13,0.0,0.2
analogies,13,0.0,0.1
hiv/aids,13,0.0,0.0
chebyshev,13,0.0,0.4
the mssm,13,0.0,0.0
springer-verlag,13,0.0,0.0
hydration,13,0.0,0.0
end-users,13,0.0,0.5
a predictor,13,0.0,0.4
auvs,13,0.0,0.0
supercapacitors,13,0.0,0.0
c-band,13,0.0,0.0
two-way relaying,13,0.0,0.1
two-tier,13,0.0,0.1
waveforms,13,0.0,0.0
symbiosis,13,0.0,0.1
wikis,13,0.0,0.8
multi-source,13,0.0,0.4
axiomatizations,13,0.0,0.4
multicores,13,0.0,0.4
bl-algebras,13,0.0,0.7
low-rank,13,0.0,0.3
multi-criteria decision-making,13,0.0,0.3
reservoirs,13,0.0,0.0
mlp,13,0.0,0.3
s-boxes,13,0.0,0.2
snarks,13,0.0,0.1
quaternion,13,0.0,0.2
a formalism,13,0.0,0.0
qfd,13,0.0,0.0
thresholding,13,0.0,0.6
sinusoids,13,0.0,0.3
the cardinality,13,0.0,0.3
the choquet,13,0.0,0.0
discretizations,13,0.0,0.4
cramer-rao,13,0.0,0.3
synchronisation,13,0.0,0.1
$ -,13,0.0,0.0
b.,13,0.0,0.0
eigenvectors,13,0.0,0.5
quotients,13,0.0,0.1
pmsms,13,0.0,0.0
brushless,13,0.0,0.0
capacitors,13,0.0,0.0
decoherence,13,0.0,0.9
multi-agents,13,0.0,1.0
intuitionistic,13,0.0,0.7
q-rung orthopair,13,0.0,0.0
laplace,13,0.0,0.0
10 gb/s,13,0.0,0.3
pipelined adcs,13,0.0,0.2
3d-hevc,13,0.0,0.4
wbans,13,0.0,0.1
e-governance,13,0.0,0.2
preconditioning,13,0.0,0.5
the radon,13,0.0,0.1
despeckling,13,0.0,0.3
\ infty,13,0.0,0.2
the epistemology,13,0.0,0.0
stap,13,0.0,0.0
gpr,13,0.0,0.2
informatik-patente,13,0.0,0.0
unsolvability,13,0.0,0.4
zukunft,13,0.0,0.0
microprocessor,13,0.0,0.6
isic,13,0.0,0.0
zusammenfassung,13,0.0,0.1
macromolecules,13,0.0,0.0
obdds,12,0.0,0.8
maxima,12,0.0,0.2
uniformity,12,0.0,0.0
wiener,12,0.0,0.2
aal,12,0.0,0.0
dissociation,12,0.0,0.0
cryptosystems,12,0.0,0.7
polyominoes,12,0.0,0.1
econometrics,12,0.0,0.3
hotelling 's,12,0.0,0.0
residuals,12,0.0,0.3
heaps,12,0.0,0.3
first-order,12,0.0,0.5
neuron,12,0.0,0.1
co-location,12,0.0,0.3
conflation,12,0.0,0.1
energy-aware,12,0.0,0.4
time-dependent,12,0.0,0.2
lod,12,0.0,0.2
retina,12,0.0,0.1
opacity,12,0.0,0.0
skeletonization,12,0.0,0.2
biases,12,0.0,0.0
singularity,12,0.0,0.2
sparql,12,0.0,0.9
a nutshell,12,0.0,0.0
homophily,12,0.0,0.2
aggregates,12,0.0,0.2
fault-tolerance,12,0.0,0.9
morphisms,12,0.0,0.2
solvers,12,0.0,0.4
concatenation,12,0.0,0.7
blas,12,0.0,0.2
quicksort,12,0.0,0.9
bandits,12,0.0,0.1
strategy-proofness,12,0.0,0.3
differentiability,12,0.0,0.2
multiphase,12,0.0,0.1
cross-docking,12,0.0,0.0
conceptualization,12,0.0,0.1
simulink,12,0.0,0.6
a case-study,12,0.0,0.0
dijkstra 's,12,0.0,0.5
steady-state,12,0.0,0.0
asymptotic optimality,12,0.0,0.6
betweenness centrality,12,0.0,0.9
labelings,12,0.0,0.4
trustworthiness,12,0.0,0.4
a real-time,12,0.0,0.1
lms,12,0.0,0.2
on a,12,0.0,0.0
ssds,12,0.0,0.4
the 3d,12,0.0,0.6
degenerate,12,0.0,0.0
classifier ensembles,12,0.0,0.9
or/ms,12,0.0,0.1
kinect,12,0.0,0.7
resilient,12,0.0,0.1
imperfect csit,12,0.0,0.1
low-complexity,12,0.0,0.4
qos-aware,12,0.0,0.6
decode-and-forward relaying,12,0.0,0.3
ofdma,12,0.0,0.1
v2x,12,0.0,0.3
chameleon,12,0.0,0.0
jitter,12,0.0,0.3
non-orthogonal,12,0.0,0.2
esprit,12,0.0,0.2
offloading,12,0.0,0.2
the inconsistency,12,0.0,0.0
a classifier,12,0.0,0.6
co-evolution,12,0.0,0.0
transitivity,12,0.0,0.3
siglog,12,0.0,1.0
reversals,12,0.0,0.0
astrocytes,12,0.0,0.0
bonferroni,12,0.0,0.0
rbf,12,0.0,0.4
autoencoders,12,0.0,1.0
dfig,12,0.0,0.1
multisets,12,0.0,0.5
branch-and-price,12,0.0,0.3
the torus,12,0.0,0.1
branch-and-cut,12,0.0,0.5
radiotherapy,12,0.0,0.0
kant 's,12,0.0,0.0
polypeptides,12,0.0,0.0
dematel,12,0.0,0.0
anp,12,0.0,0.0
a metamodel,12,0.0,0.6
fcm,12,0.0,0.1
k-out-of-n,12,0.0,0.2
h.,12,0.0,0.0
type-2,12,0.0,0.1
nim,12,0.0,0.1
stator,12,0.0,0.0
high-efficiency,12,0.0,0.3
decryption,12,0.0,0.7
primitives,12,0.0,0.5
semilattices,12,0.0,0.0
modulator,12,0.0,0.0
tsv,12,0.0,0.0
high-throughput,12,0.0,0.4
time-interleaved adcs,12,0.0,0.4
tms,12,0.0,0.1
sift,12,0.0,0.6
aphasia,12,0.0,0.0
1 queues,12,0.0,0.3
micrornas,12,0.0,0.0
pseudovarieties,12,0.0,0.0
webword,12,0.0,0.1
openstack,12,0.0,0.7
lorawan,12,0.0,0.5
boundedness,12,0.0,0.0
rpl,12,0.0,0.2
retinex,12,0.0,0.9
doa,12,0.0,0.1
chichester,12,0.0,0.0
serviceteil,12,0.0,0.0
broca 's,12,0.0,0.0
sigchi,12,0.0,0.9
alzheimer 's,105,-9392.0,0.0
anaphora,11,0.0,0.0
hyperplanes,11,0.0,0.2
nahmen,11,0.0,0.0
multiplicative,11,0.0,0.2
well-being,11,0.0,0.0
component-based,11,0.0,0.6
content-based,11,0.0,0.5
lossy,11,0.0,0.7
hippocampus,11,0.0,0.0
electroencephalography,11,0.0,0.3
intranets,11,0.0,0.7
cybercrime,11,0.0,0.2
multicasting,11,0.0,0.5
polytope,11,0.0,0.1
delaunay triangulations,11,0.0,0.8
logistic,11,0.0,0.1
surrogate,11,0.0,0.3
non-uniform,11,0.0,0.5
elicitation,11,0.0,0.3
built-in self-test,11,0.0,0.3
formalisms,11,0.0,0.2
elliptic,11,0.0,0.1
synaptic plasticity,11,0.0,0.1
metaheuristic,11,0.0,0.8
euclidean,11,0.0,0.1
high-dimensional,11,0.0,0.5
imprecision,11,0.0,0.0
multi-criteria,11,0.0,0.3
mde,11,0.0,0.3
boosting,11,0.0,0.4
reflectance,11,0.0,0.2
geodesics,11,0.0,0.1
nlp,11,0.0,0.4
jacobians,11,0.0,0.2
gauss,11,0.0,0.5
dissimilarity,11,0.0,0.3
i/o,11,0.0,0.3
industrie,11,0.0,0.1
continuous-time,11,0.0,0.3
spanners,11,0.0,0.1
atomicity,11,0.0,0.4
self-organizing,11,0.0,0.6
e-participation,11,0.0,0.0
problem-solving,11,0.0,0.5
three-phase,11,0.0,0.1
srm,11,0.0,0.2
determinism,11,0.0,0.1
axiomatic,11,0.0,0.2
utilitarianism,11,0.0,0.0
obsolescence,11,0.0,0.1
payoffs,11,0.0,0.0
diversification,11,0.0,0.0
inertia,11,0.0,0.0
a low-cost,11,0.0,0.0
co-design,11,0.0,0.3
hopf bifurcation,11,0.0,0.0
openfoam,11,0.0,1.0
transshipment,11,0.0,0.1
the dimensionality,11,0.0,0.5
'em,11,0.0,0.2
remanufacturing,11,0.0,0.0
reusability,11,0.0,0.2
hla,11,0.0,0.1
aodv,11,0.0,0.5
scopus,11,0.0,0.0
pragmatics,11,0.0,0.1
attractors,11,0.0,0.1
a 1,11,0.0,0.0
hardware/software co-design,11,0.0,0.7
rotations,11,0.0,0.1
corrigendum to,11,0.0,0.3
phenomenology,11,0.0,0.0
mcdm,11,0.0,0.4
trustworthy,11,0.0,0.4
ofdma uplink,11,0.0,0.2
sum-rate maximization,11,0.0,0.6
opportunistic relaying,11,0.0,0.8
multiuser mimo,11,0.0,0.5
multi-user,11,0.0,0.9
jasis,11,0.0,0.1
esterel,11,0.0,0.3
correspondences,11,0.0,0.0
complexities,11,0.0,0.6
competences,11,0.0,0.1
pvs,11,0.0,0.2
multi-layer perceptron,11,0.0,1.0
finite-time,11,0.0,0.5
bci-algebras,11,0.0,0.4
fractional-order,11,0.0,0.0
artefacts,11,0.0,0.1
lyapunov exponents,11,0.0,0.1
connectedness,11,0.0,0.2
a digraph,11,0.0,0.1
colourings,11,0.0,0.2
multigraphs,11,0.0,0.6
clique,11,0.0,0.3
chromatic polynomials,11,0.0,0.9
z.,11,0.0,0.1
subsystems,11,0.0,0.3
scaffolding,11,0.0,0.1
disjoint,11,0.0,0.2
dialogues,11,0.0,0.0
hadamard,11,0.0,0.5
mv-algebras,11,0.0,0.4
reducts,11,0.0,0.4
ltl,11,0.0,0.1
confluence,11,0.0,0.2
completions,11,0.0,0.1
rework,11,0.0,0.1
multi-document summarization,11,0.0,0.8
refactoring,11,0.0,0.9
self-management,11,0.0,0.1
energetics,11,0.0,0.0
noises,11,0.0,0.0
fanets,11,0.0,0.0
single-server queues,11,0.0,0.3
the combinatorics,11,0.0,0.0
inversions,11,0.0,0.1
lcl,11,0.0,0.1
grid-connected inverters,11,0.0,0.0
excitation,11,0.0,0.0
bootstrapping,11,0.0,0.2
buchbesprechungen,11,0.0,0.0
informationssysteme,11,0.0,0.4
icirc,11,0.0,0.1
topography,11,0.0,0.3
permutation trinomials,11,0.0,0.2
reversibility,11,0.0,0.1
shared-memory multiprocessors,11,0.0,1.0
a testbed,11,0.0,0.2
fapar,11,0.0,0.0
multi-view,11,0.0,0.8
retransmission,11,0.0,0.1
endomorphisms,11,0.0,0.2
the trenches,11,0.0,0.1
parsers,11,0.0,0.9
uwsns,11,0.0,0.0
smos,11,0.0,0.1
u-net,11,0.0,0.2
a uav,11,0.0,0.3
self-learning,11,0.0,0.3
xcs,11,0.0,0.1
nb-iot,11,0.0,0.6
the metaphysics,11,0.0,0.1
carnap 's,11,0.0,0.0
divergences,11,0.0,0.1
1d,11,0.0,0.0
the probabilistic,11,0.0,0.4
multigrid,11,0.0,0.6
jpeg2000,11,0.0,0.8
resting-state,11,0.0,0.2
perceptual,11,0.0,0.1
wissensmanagement,11,0.0,0.3
commentaires,11,0.0,0.0
cronin,11,0.0,0.0
nfv,11,0.0,0.6
modellierung,11,0.0,0.4
systemen,11,0.0,0.4
kurzfassung,11,0.0,0.0
comsoc,11,0.0,0.5
sigcse,11,0.0,0.9
game-tree,11,0.0,0.6
benzene,11,0.0,0.0
rayleigh fading,32,-2124.999999505235,0.0
the importance,181,-17055.0,0.1
lilog,10,0.0,0.1
summation,10,0.0,0.1
smoothness,10,0.0,0.2
signcryption,10,0.0,0.6
exponentiation,10,0.0,0.2
x.,10,0.0,0.1
bist,10,0.0,0.0
face-to-face,10,0.0,0.0
neuronal,10,0.0,0.3
anns,10,0.0,0.1
cluster-based,10,0.0,0.5
interpretability,10,0.0,0.2
transducers,10,0.0,0.2
haptic,10,0.0,0.3
fpga-based,10,0.0,0.6
etl,10,0.0,0.1
neuroevolution,10,0.0,0.8
plausibility,10,0.0,0.1
raster,10,0.0,0.8
anonymization,10,0.0,0.5
curation,10,0.0,0.1
a bayesian,10,0.0,0.3
resampling,10,0.0,0.9
inaccuracy,10,0.0,0.0
binarization,10,0.0,0.7
pre-processing,10,0.0,0.5
azimuth,10,0.0,0.0
lbp,10,0.0,0.3
affective,10,0.0,0.1
oscillator,10,0.0,0.0
repetitions,10,0.0,0.2
tunneling,10,0.0,0.5
centrality,10,0.0,0.6
structuralism,10,0.0,0.0
dbpedia,10,0.0,0.7
dbms,10,0.0,0.7
finiteness,10,0.0,0.3
optimizer,10,0.0,0.7
ssd,10,0.0,0.2
amdahl 's,10,0.0,0.9
pareto optimality,10,0.0,0.3
chatbots,10,0.0,0.8
sequence-dependent setups,10,0.0,0.6
ethylene,10,0.0,0.0
crystallization,10,0.0,0.0
a trade-off,10,0.0,0.1
t.,10,0.0,0.0
a stabilized,10,0.0,0.0
detectability,10,0.0,0.1
a swarm,10,0.0,0.4
the approximability,10,0.0,0.7
lookahead,10,0.0,0.9
congruence,10,0.0,0.0
blockchains,10,0.0,0.5
informetrics,10,0.0,0.1
reminiscences,10,0.0,0.0
the zeros,10,0.0,0.1
morphological,10,0.0,0.2
invertibility,10,0.0,0.2
subroutines,10,0.0,0.7
self-healing,10,0.0,0.0
a wavelet,10,0.0,0.5
isabelle/hol,10,0.0,0.8
sph,10,0.0,0.2
anova,10,0.0,0.1
the 2d,10,0.0,0.3
anisotropy,10,0.0,0.1
a derivation,10,0.0,0.2
formalism,10,0.0,0.0
batches,10,0.0,0.4
personas,10,0.0,0.7
harq,10,0.0,0.3
dimensioning,10,0.0,0.1
imbalance,10,0.0,0.0
unicast,10,0.0,0.4
a polygon,10,0.0,0.2
bidirectional,10,0.0,0.5
amplify-and-forward relaying,10,0.0,0.3
the beholder,10,0.0,0.2
1/2,10,0.0,0.2
innovativeness,10,0.0,0.2
c/c,10,0.0,0.1
modalities,10,0.0,0.1
cosine,10,0.0,0.3
axiom,10,0.0,0.4
cmps,10,0.0,0.2
censoring,10,0.0,0.2
misclassification,10,0.0,0.1
shrinkage,10,0.0,0.0
kriging,10,0.0,0.4
elan,10,0.0,0.1
interval-valued,10,0.0,0.1
curvelet,10,0.0,0.8
the inversion,10,0.0,0.3
emd,10,0.0,0.0
svr,10,0.0,0.1
antichains,10,0.0,0.2
deletions,10,0.0,0.2
recognizability,10,0.0,0.0
triples,10,0.0,0.2
transversals,10,0.0,0.0
-2,10,0.0,0.0
coverings,10,0.0,0.1
combinators,10,0.0,0.8
formalisation,10,0.0,0.0
bisimulations,10,0.0,0.8
learnability,10,0.0,0.7
chua 's,10,0.0,0.0
multimodal biometrics,10,0.0,0.6
on-chip interconnects,10,0.0,0.4
lans,10,0.0,0.0
factorizations,10,0.0,0.5
the discrepancy,10,0.0,0.1
conjectures,10,0.0,0.0
a 2d,10,0.0,0.4
a pmsm,10,0.0,0.0
three-phase inverters,10,0.0,0.0
manipulators,10,0.0,0.4
on-chip,10,0.0,0.2
urdu,10,0.0,0.0
fallstudie,10,0.0,0.0
logiciels,10,0.0,0.7
articulation,10,0.0,0.0
the controllability,10,0.0,0.2
haar wavelets,10,0.0,0.6
pythagorean,10,0.0,0.0
socs,10,0.0,0.2
third-order,10,0.0,0.0
the generalization,10,0.0,0.4
testbed,10,0.0,0.2
enablers,10,0.0,0.2
nocs,10,0.0,0.0
sequent calculi,10,0.0,0.2
well-posedness,10,0.0,0.3
polygonal meshes,10,0.0,0.8
the 1990s,10,0.0,0.0
croplands,10,0.0,0.0
sigplan,10,0.0,0.9
grasslands,10,0.0,0.0
wmns,10,0.0,0.1
isar,10,0.0,0.0
gnss-r,10,0.0,0.0
oli,10,0.0,0.0
pancyclicity,10,0.0,0.7
emergent,10,0.0,0.4
wittgenstein 's,10,0.0,0.0
triangular meshes,10,0.0,1.0
augmented lagrangians,10,0.0,1.0
recollection,10,0.0,0.0
alos palsar,10,0.0,0.0
sicherheit,10,0.0,0.1
medizin,10,0.0,0.0
bgp,10,0.0,0.5
anwendungen,10,0.0,0.2
herausforderungen,10,0.0,0.1
amygdala,10,0.0,0.1
alles,10,0.0,0.0
vorwort,10,0.0,0.0
handwritten numerals,10,0.0,0.1
qm/mm,10,0.0,0.9
a family,207,-19739.0,0.0
multi-objective optimization,166,-15665.0,0.7
the study,204,-19493.0,0.0
inexact,9,0.0,0.1
reordering,9,0.0,0.2
w3c,9,0.0,0.8
shamir 's,9,0.0,0.1
shrinking,9,0.0,0.0
binomial,9,0.0,0.1
cmc,9,0.0,0.2
maintainability,9,0.0,0.5
lambda-calculus,9,0.0,0.8
dendritic spines,9,0.0,0.1
multistability,9,0.0,0.1
magnetoencephalography,9,0.0,0.1
capacitance,9,0.0,0.1
espionage,9,0.0,0.0
reengineering,9,0.0,0.3
vehicular,9,0.0,0.2
eigenvalue,9,0.0,0.3
atrial fibrillation,9,0.0,0.0
reducibility,9,0.0,0.6
fibonacci,9,0.0,0.3
insecurity,9,0.0,0.0
floorplanning,9,0.0,0.4
mpeg-2,9,0.0,0.1
mpsocs,9,0.0,0.6
advancements,9,0.0,0.0
associative,9,0.0,0.4
ais,9,0.0,0.0
cost-sensitive,9,0.0,0.3
occam 's,9,0.0,0.3
quadtree,9,0.0,0.9
contextualization,9,0.0,0.2
r-tree,9,0.0,0.9
arcgis,9,0.0,0.7
multicriteria decision-making,9,0.0,0.6
co-occurrence,9,0.0,0.7
predication,9,0.0,0.4
determinant,9,0.0,0.1
extensible,9,0.0,0.8
eigenspace,9,0.0,0.1
actuators,9,0.0,0.1
actuation,9,0.0,0.1
disaggregation,9,0.0,0.0
generalised,9,0.0,0.0
markovian,9,0.0,0.4
prosody,9,0.0,0.1
egovernment,9,0.0,0.1
on-demand,9,0.0,0.1
anwendung,9,0.0,0.2
pontryagin 's,9,0.0,0.1
extremum,9,0.0,0.2
dilation,9,0.0,0.1
self-stabilization,9,0.0,0.7
subgraph,9,0.0,0.7
misinformation,9,0.0,0.2
two-phase,9,0.0,0.3
hyperlinks,9,0.0,0.5
pram,9,0.0,0.3
iaas,9,0.0,0.5
bpmn,9,0.0,0.8
cbir,9,0.0,0.5
bsp,9,0.0,0.2
pi-calculus,9,0.0,0.5
offshoring,9,0.0,0.1
the impossibility,9,0.0,0.0
lotteries,9,0.0,0.0
the nonexistence,9,0.0,0.0
non-existence,9,0.0,0.0
coalitions,9,0.0,0.0
monotonic,9,0.0,0.3
multi-objectives,9,0.0,0.9
cyber-attacks,9,0.0,0.7
short-term,9,0.0,0.1
reformulations,9,0.0,0.1
correntropy,9,0.0,0.0
lyapunov,9,0.0,0.0
integrators,9,0.0,0.6
the ubiquity,9,0.0,0.3
substructures,9,0.0,0.2
instagram,9,0.0,0.4
hedging,9,0.0,0.0
e-readers,9,0.0,0.1
occam,9,0.0,0.5
vibrations,9,0.0,0.0
pbl,9,0.0,0.0
byod,9,0.0,0.4
scientometrics,9,0.0,0.3
matchmaking,9,0.0,0.2
mpsoc,9,0.0,0.8
systemc,9,0.0,0.5
lotos,9,0.0,0.2
hydrodynamics,9,0.0,0.1
accelerators,9,0.0,0.3
convolutions,9,0.0,0.7
cartesian,9,0.0,0.2
low-frequency,9,0.0,0.0
e-democracy,9,0.0,0.0
wcdma,9,0.0,0.0
self-tuning,9,0.0,0.1
eavesdroppers,9,0.0,0.3
lte-u,9,0.0,0.1
vlc,9,0.0,0.5
rician,9,0.0,0.0
dcf,9,0.0,0.1
tdd,9,0.0,0.2
noncoherent,9,0.0,0.0
mc-cdma,9,0.0,0.2
retransmissions,9,0.0,0.3
decode-and-forward,9,0.0,0.7
actuator,9,0.0,0.2
cost-effectiveness,9,0.0,0.0
multi-scale,9,0.0,0.4
signalized intersections,9,0.0,0.1
ultra-dense,9,0.0,0.4
hsdpa,9,0.0,0.3
tdma,9,0.0,0.0
cd-rom,9,0.0,0.4
the cybernetics,9,0.0,0.2
the readability,9,0.0,0.1
dyslexia,9,0.0,0.0
thesauri,9,0.0,0.5
interrelationships,9,0.0,0.0
the unification,9,0.0,0.0
dispositions,9,0.0,0.0
axiomatization,9,0.0,0.4
truncation,9,0.0,0.4
condorcet,9,0.0,0.1
medians,9,0.0,0.2
rda,9,0.0,0.0
cs1,9,0.0,0.1
rns,9,0.0,0.0
microaneurysms,9,0.0,0.0
electroencephalogram,9,0.0,0.1
a hybridization,9,0.0,0.0
gearbox,9,0.0,0.1
b2c e-commerce,9,0.0,0.2
agc,9,0.0,0.1
electrocardiogram,9,0.0,0.1
attenuation,9,0.0,0.0
subclasses,9,0.0,0.4
acyclic,9,0.0,0.4
tuples,9,0.0,0.9
constructivism,9,0.0,0.0
lsb,9,0.0,0.6
ctl,9,0.0,0.3
tarski,9,0.0,0.1
estimations,9,0.0,0.4
the axiomatization,9,0.0,0.4
behaviours,9,0.0,0.1
cut-elimination,9,0.0,0.2
two-way,9,0.0,0.0
deforestation,9,0.0,0.0
airs,9,0.0,0.0
xgboost,9,0.0,0.7
trusses,9,0.0,0.0
benders ',9,0.0,0.1
evidences,9,0.0,0.0
variational integrators,9,0.0,0.5
diffserv,9,0.0,0.7
mec,9,0.0,0.0
transceiver,9,0.0,0.1
vizing 's,9,0.0,0.8
schur,9,0.0,0.0
the trajectories,9,0.0,0.1
ansatz,9,0.0,0.3
a 0.13,9,0.0,0.1
mosfets,9,0.0,0.1
grid-connected,9,0.0,0.1
standstill,9,0.0,0.0
a microcomputer,9,0.0,0.5
dissipation,9,0.0,0.1
android smartphones,9,0.0,0.8
fachgruppen,9,0.0,0.0
informatik,9,0.0,0.6
papers/participation,9,0.0,0.2
einsatz,9,0.0,0.0
ncia,9,0.0,0.0
hesitant,9,0.0,0.0
desertification,9,0.0,0.0
hypergroups,9,0.0,0.0
cumulants,9,0.0,0.1
bim,9,0.0,0.1
radicals,9,0.0,0.0
smote,9,0.0,0.0
rssi,9,0.0,0.2
quadrotor,9,0.0,0.1
isscc,9,0.0,0.3
oscillators,9,0.0,0.0
0.35,9,0.0,0.1
$ -lcb-,9,0.0,0.2
exergames,9,0.0,0.7
commutativity,9,0.0,0.0
provability,9,0.0,0.4
cardinalities,9,0.0,0.1
functors,9,0.0,0.1
transferability,9,0.0,0.2
stratification,9,0.0,0.0
coap,9,0.0,0.6
uav photogrammetry,9,0.0,0.8
openflow,9,0.0,0.6
circularity,9,0.0,0.0
ransac,9,0.0,0.8
aster,9,0.0,0.0
lst,9,0.0,0.1
downscaling,9,0.0,0.2
hume 's,9,0.0,0.0
grounding,9,0.0,0.0
interconnects,9,0.0,0.4
the cofinality,9,0.0,0.0
bivariate interpolation,9,0.0,0.5
yager 's,9,0.0,0.4
mangroves,9,0.0,0.0
inter-comparison,9,0.0,0.4
viirs,9,0.0,0.1
themenheft,9,0.0,0.0
aspectj,9,0.0,1.0
courseware,9,0.0,0.1
relaying,9,0.0,0.1
ellipses,9,0.0,0.1
single-image super-resolution,9,0.0,0.6
s4,9,0.0,0.1
m-sequences,9,0.0,0.5
exponentials,9,0.0,0.0
borel,9,0.0,0.0
cyclostationarity,9,0.0,0.0
kmu,9,0.0,0.0
adolescence,9,0.0,0.0
eigener sache,9,0.0,0.0
csit,9,0.0,0.5
multi-uav,9,0.0,0.1
erps,9,0.0,0.2
engagecsedu,9,0.0,0.1
