phrase,computer science,python,machine learning,artificial intelligence,ai,deep learning,algorithm,algorithms,code,architecture,api,software,framework,computer security,computer system,computer systems
signature schemes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
privacy enhancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robot path,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
data access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
management support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security breaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitivity analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smart cards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parallel scheduling,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
missing data,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ensemble methods,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
usability engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rapid prototyping,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
decision support,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
configuration management,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activation functions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
network function,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
error detection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
terrorist networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logic programs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recognition performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
risk management,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
systems development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificial data,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
functional specification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user inputs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domain experts,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
