noun_phrase,frequency,score
bin,12,0
continuum,12,0
perturbation theory,12,0
composites,12,0
financial forecasting,12,0
consistent,12,0
archiving,12,0
company,12,0
goods,12,0
social relationships,12,0
supplier,12,0
homophily,12,0
textual data,12,0
biomedical,12,0
replicated data,12,0
quantitative,12,0
semantic representation,12,0
distance measure,12,0
fault-tolerance,12,0
formula,12,0
morphisms,12,0
solvers,12,0
linear algebra,12,0
state space,12,0
concatenation,12,0
blas,12,0
quicksort,12,0
the protection,12,0
interests,12,0
lead,12,0
right,12,0
springer,12,0
pilot,12,0
weaknesses,12,0
student engagement,12,0
those,12,0
crisis,12,0
bidding,12,0
debt,12,0
the shadow,12,0
bandits,12,0
strategy-proofness,12,0
differentiability,12,0
drivers ',12,0
performance degradation,12,0
application of,12,0
multiphase,12,0
wastewater treatment,12,0
methane,12,0
cross-docking,12,0
conceptualization,12,0
multiple gpus,12,0
simulink,12,0
a case-study,12,0
coal,12,0
mixed-integer programming,12,0
dijkstra 's,12,0
global optimisation,12,0
steady-state,12,0
online optimization,12,0
quantum chemistry,12,0
type i,12,0
optimization problem,12,0
global optimality,12,0
several,12,0
asymptotic optimality,12,0
the life,12,0
scholarship,12,0
competitiveness,12,0
betweenness centrality,12,0
labelings,12,0
the software,12,0
efficient evaluation,12,0
web content,12,0
google 's,12,0
systemic risk,12,0
the firm,12,0
strategic customers,12,0
hard,12,0
the resource,12,0
the productivity,12,0
the availability,12,0
quantity discounts,12,0
the present,12,0
white,12,0
influence diagrams,12,0
warranty,12,0
trustworthiness,12,0
a stochastic,12,0
president,12,0
article,12,0
parallel execution,12,0
behavioral modeling,12,0
software review,12,0
a real-time,12,0
environmental data,12,0
lms,12,0
anything,12,0
requirements specifications,12,0
algebraic theory,12,0
timing analysis,12,0
agile methods,12,0
a gis,12,0
feature weighting,12,0
the base,12,0
algebraic approach,12,0
on a,12,0
electronic nose,12,0
security evaluation,12,0
ssds,12,0
electronic structures,12,0
the 3d,12,0
degenerate,12,0
symmetric matrices,12,0
mine,12,0
polynomial rings,12,0
cu,12,0
theoretical model,12,0
offline,12,0
anxiety,12,0
customer value,12,0
formal modeling,12,0
vertical,12,0
classifier ensembles,12,0
unsupervised clustering,12,0
or/ms,12,0
3d space,12,0
kinect,12,0
emission,12,0
rgb,12,0
resilient,12,0
comparison study,12,0
daily,12,0
low-complexity,12,0
collaborative spectrum,12,0
qos-aware,12,0
a road,12,0
the transmitter,12,0
mobility support,12,0
decode-and-forward relaying,12,0
ofdma,12,0
mu,12,0
v2x,12,0
chameleon,12,0
low latency,12,0
battery storage,12,0
inverter,12,0
af,12,0
a picture,12,0
jitter,12,0
software-defined radio,12,0
sic,12,0
non-orthogonal,12,0
electric aircraft,12,0
esprit,12,0
offloading,12,0
urban area,12,0
qr decomposition,12,0
assumptions,12,0
disabled people,12,0
a connection,12,0
readers,12,0
web site,12,0
hypertension,12,0
sgml,12,0
a proxy,12,0
the start,12,0
a classifier,12,0
washington,12,0
design research,12,0
a relationship,12,0
co-evolution,12,0
transitivity,12,0
adolescents,12,0
humanities,12,0
probabilistic programs,12,0
lambda calculus,12,0
bugs,12,0
siglog,12,0
dilemma,12,0
a change,12,0
certificates,12,0
fractional calculus,12,0
execution time,12,0
architectural support,12,0
network processors,12,0
numerical treatment,12,0
cervical cancer,12,0
economic load,12,0
road traffic,12,0
newton,12,0
biomedical data,12,0
astrocytes,12,0
bonferroni,12,0
rbf,12,0
amino acids,12,0
pd,12,0
gaussian process,12,0
autoencoders,12,0
further,12,0
dfig,12,0
air pollution,12,0
simple polygons,12,0
multisets,12,0
the coefficients,12,0
asymptotic enumeration,12,0
count,12,0
linear inequalities,12,0
branch-and-price,12,0
the torus,12,0
branch-and-cut,12,0
the weight,12,0
some theorems,12,0
radiotherapy,12,0
sketches,12,0
kant 's,12,0
air quality,12,0
bittorrent,12,0
rfid tags,12,0
relational database,12,0
a property,12,0
tiles,12,0
graph cut,12,0
a clustering,12,0
the frame,12,0
the tsp,12,0
polypeptides,12,0
residual network,12,0
containers,12,0
ordinal data,12,0
dematel,12,0
anp,12,0
a metamodel,12,0
hindi,12,0
human perception,12,0
acoustic emission,12,0
interface design,12,0
fcm,12,0
optimization method,12,0
solar radiation,12,0
a pilot,12,0
pulses,12,0
k-out-of-n,12,0
rgb-d data,12,0
graph databases,12,0
the subject,12,0
part 4,12,0
spatio-temporal analysis,12,0
atmospheric turbulence,12,0
h.,12,0
type-2,12,0
ordinal optimization,12,0
ups,12,0
nim,12,0
the generalized,12,0
stator,12,0
harmonic,12,0
power-factor correction,12,0
current control,12,0
common-mode voltage,12,0
regulator,12,0
multilevel converters,12,0
high-efficiency,12,0
temperature sensor,12,0
structural health,12,0
grid-connected inverter,12,0
closed-loop control,12,0
no,12,0
decryption,12,0
arabic language,12,0
primitives,12,0
diagnostic,12,0
two universes,12,0
the barriers,12,0
semilattices,12,0
modulator,12,0
tsv,12,0
high-throughput,12,0
time-interleaved adcs,12,0
content-based retrieval,12,0
special,12,0
injury,12,0
acyclic graphs,12,0
tms,12,0
sift,12,0
aphasia,12,0
florida,12,0
multiple sclerosis,12,0
mri data,12,0
motion correction,12,0
stationary,12,0
microwave imaging,12,0
scene analysis,12,0
the variability,12,0
authenticity,12,0
1 queues,12,0
quadratic functions,12,0
privacy policies,12,0
micrornas,12,0
apple,12,0
surveillance video,12,0
the moon,12,0
linear convergence,12,0
feature matching,12,0
the approach,12,0
pseudovarieties,12,0
some generalizations,12,0
frontiers,12,0
seventh heaven,12,0
webword,12,0
openstack,12,0
filter bank,12,0
vegetation dynamics,12,0
lorawan,12,0
northwestern china,12,0
sar tomography,12,0
snow cover,12,0
dielectric properties,12,0
inland waters,12,0
airborne radar,12,0
spin,12,0
boundedness,12,0
rpl,12,0
heuristic methods,12,0
radar data,12,0
aboveground biomass,12,0
retinex,12,0
crossed cubes,12,0
trapezoid graphs,12,0
the move,12,0
the coefficient,12,0
doa,12,0
time-frequency representations,12,0
chichester,12,0
lms algorithm,12,0
barrier coverage,12,0
serviceteil,12,0
broca 's,12,0
lifelong interactions,12,0
sigchi,12,0
the depth,13,-1001
technique,210,-198030
reliability,342,-330030
the sum,60,-48060
inhibition,26,-14066
binary images,41,-29069
charts,17,-5083
finite element,20,-8100
robust stability,34,-22134
gradient descent,14,-2156
extract,20,-8180
medical diagnosis,38,-26182
numerical calculation,12,-288
distributed simulation,18,-6318
series,61,-49349
spam detection,16,-4384
causal inference,19,-7429
classification algorithms,27,-15444
trace,22,-10450
ratio,34,-22474
rayleigh fading,32,-20480
frequency domain,27,-15498
performance guarantees,19,-7543
status,59,-47554
monocular vision,12,-564
globalization,19,-7619
incompressible flow,13,-1625
bandwidth allocation,29,-17632
the uniqueness,17,-5644
highlights,15,-3660
version,30,-18690
cover image,39,-27690
landsat imagery,39,-27690
fluctuations,15,-3705
data aggregation,29,-17719
secure transmission,17,-5729
workflow scheduling,14,-2730
knowledge extraction,19,-7752
greedy algorithm,14,-2758
topic,17,-5763
electronic devices,13,-1781
inputs,24,-12816
route optimization,12,-828
fading,31,-19840
automatic control,16,-4896
dynamic reconfiguration,19,-7904
educators,19,-7942
first-order logic,36,-24984
linear logic,36,-24984
statistical methods,57,-45999
der medizin,11,0
wie,11,0
anaphora,11,0
pdas,11,0
hyperplanes,11,0
nahmen,11,0
firewalls,11,0
notation,11,0
intrusion,11,0
multiplicative,11,0
well-being,11,0
operational,11,0
digital storytelling,11,0
absorption,11,0
retailing,11,0
indirect,11,0
component-based,11,0
content-based,11,0
lossy,11,0
pattern formation,11,0
spectral methods,11,0
hippocampus,11,0
electroencephalography,11,0
stochastic simulations,11,0
recurrent,11,0
network structure,11,0
acquisitions,11,0
intranets,11,0
hackers,11,0
cybercrime,11,0
purpose,11,0
threat,11,0
tactics,11,0
multicasting,11,0
internet usage,11,0
computational geometry,11,0
polytope,11,0
crystals,11,0
delaunay triangulations,11,0
social software,11,0
logistic,11,0
surrogate,11,0
non-uniform,11,0
tau,11,0
its generalizations,11,0
sign,11,0
elicitation,11,0
online marketplaces,11,0
combinatorial designs,11,0
built-in self-test,11,0
formalisms,11,0
proxy,11,0
web caching,11,0
elliptic,11,0
security architecture,11,0
video data,11,0
certainty,11,0
synaptic plasticity,11,0
characteristic analysis,11,0
metaheuristic,11,0
mixture model,11,0
ice,11,0
euclidean,11,0
high-dimensional,11,0
trip,11,0
imprecision,11,0
spatio-temporal databases,11,0
multi-criteria,11,0
manifold,11,0
mde,11,0
peer,11,0
pathology,11,0
synthetic aperture,11,0
destination,11,0
tissue,11,0
serial,11,0
boosting,11,0
event recognition,11,0
reflectance,11,0
geodesics,11,0
rough terrain,11,0
legged robots,11,0
modular robots,11,0
quasidifferentiable optimization,11,0
nlp,11,0
general theory,11,0
jacobians,11,0
gauss,11,0
fuzzy logics,11,0
data sources,11,0
self-similar traffic,11,0
wavelength,11,0
dissimilarity,11,0
circular,11,0
canonical,11,0
local descriptors,11,0
zone,11,0
i/o,11,0
regularization methods,11,0
semantic annotations,11,0
industrie,11,0
continuous-time,11,0
lie,11,0
feedback linearization,11,0
spanners,11,0
simple algorithms,11,0
probe,11,0
atomicity,11,0
bacterial,11,0
recurrence,11,0
carbon,11,0
self-organizing,11,0
e-participation,11,0
problem-solving,11,0
query language,11,0
graph clustering,11,0
influential nodes,11,0
historical data,11,0
duplication,11,0
tag,11,0
discounted,11,0
three-phase,11,0
drm,11,0
decay,11,0
srm,11,0
pubmed,11,0
diagram,11,0
little 's,11,0
determinism,11,0
processor arrays,11,0
axiomatic,11,0
numerical algorithms,11,0
skill,11,0
legal,11,0
utilitarianism,11,0
oxford,11,0
the paradigm,11,0
obsolescence,11,0
unemployment,11,0
payoffs,11,0
school choice,11,0
income,11,0
inertia,11,0
ieee transactions,11,0
a low-cost,11,0
smart manufacturing,11,0
human-robot collaboration,11,0
judgments,11,0
the blind,11,0
co-design,11,0
momentum,11,0
heat,11,0
hopf bifurcation,11,0
vi,11,0
moving,11,0
quantitative comparison,11,0
dantzig-wolfe decomposition,11,0
observability analysis,11,0
profitability,11,0
site,11,0
temperature distribution,11,0
openfoam,11,0
clean,11,0
multivariate regression,11,0
sparse regression,11,0
cpm,11,0
nmr,11,0
transshipment,11,0
fault identification,11,0
kinetics,11,0
protein structures,11,0
multiple datasets,11,0
event-triggered control,11,0
organizational knowledge,11,0
functional analysis,11,0
restriction,11,0
smaller,11,0
internet telephony,11,0
a driver,11,0
market segmentation,11,0
the dimensionality,11,0
the sources,11,0
themselves,11,0
credit risk,11,0
linear combinations,11,0
'em,11,0
stochastic volatility,11,0
physicians,11,0
luck,11,0
remanufacturing,11,0
myth,11,0
panel data,11,0
reusability,11,0
hla,11,0
slotted aloha,11,0
box,11,0
a hospital,11,0
variable structure,11,0
madrid,11,0
a simulator,11,0
los,11,0
para,11,0
viability,11,0
mis,11,0
papers issue,11,0
telecommunication,11,0
aodv,11,0
recruitment,11,0
scopus,11,0
scholars,11,0
bi,11,0
pragmatics,11,0
attractors,11,0
polynomial zeros,11,0
burgers ',11,0
a range,11,0
a 1,11,0
the structures,11,0
hardware/software co-design,11,0
hardware/software partitioning,11,0
electronic structure,11,0
rotations,11,0
corrigendum to,11,0
binary tomography,11,0
diatomic molecules,11,0
efficient sampling,11,0
electric field,11,0
spice,11,0
the configuration,11,0
phenomenology,11,0
molecular modeling,11,0
ions,11,0
cues,11,0
the ranking,11,0
the wall,11,0
customer 's,11,0
customer segmentation,11,0
mcdm,11,0
new concepts,11,0
trustworthy,11,0
network optimization,11,0
scene recognition,11,0
soft handoff,11,0
small cell,11,0
optimal data,11,0
robust beamforming,11,0
urban vanets,11,0
ofdma uplink,11,0
vehicular environments,11,0
intra,11,0
achievable rate,11,0
end-to-end delay,11,0
interference avoidance,11,0
optimal number,11,0
self-interference cancellation,11,0
cfo,11,0
sum-rate maximization,11,0
joint spectrum,11,0
opportunistic relaying,11,0
dual connectivity,11,0
data delivery,11,0
multiuser mimo,11,0
performance characteristics,11,0
multi-user,11,0
par,11,0
massive,11,0
participatory sensing,11,0
28 ghz,11,0
jasis,11,0
the occurrence,11,0
last,11,0
bibliometric indicators,11,0
rome,11,0
staff,11,0
teens,11,0
word recognition,11,0
the coverage,11,0
the people,11,0
the loss,11,0
their role,11,0
a definition,11,0
key factors,11,0
heritage,11,0
functional pearl,11,0
al,11,0
esterel,11,0
the eu,11,0
correspondences,11,0
complexities,11,0
power distribution,11,0
argentina,11,0
a requirements,11,0
competences,11,0
pvs,11,0
usenet nuggets,11,0
nj,11,0
point processes,11,0
bayesian computation,11,0
time-series analysis,11,0
hadamard matrices,11,0
sparse autoencoder,11,0
occurrence,11,0
fractional derivatives,11,0
robot manipulator,11,0
multi-layer perceptron,11,0
markovian switching,11,0
frequency regulation,11,0
finite-time,11,0
knowledge reduction,11,0
effective connectivity,11,0
quantitative methods,11,0
bci-algebras,11,0
neural dynamics,11,0
fractional-order,11,0
unmodeled dynamics,11,0
artefacts,11,0
lyapunov exponents,11,0
complex structures,11,0
policy iteration,11,0
the height,11,0
photometric stereo,11,0
connectedness,11,0
time analysis,11,0
some characterizations,11,0
commutative rings,11,0
a digraph,11,0
colourings,11,0
multigraphs,11,0
clique,11,0
edge-colored graphs,11,0
chromatic polynomials,11,0
z.,11,0
certain classes,11,0
subsystems,11,0
scaffolding,11,0
hereditary properties,11,0
dense graphs,11,0
disjoint,11,0
nonmonotonic reasoning,11,0
flat,11,0
quantum theory,11,0
dialogues,11,0
frequency analysis,11,0
scatter search,11,0
hadamard,11,0
a satellite,11,0
ensemble clustering,11,0
algebraic semantics,11,0
graph rewriting,11,0
mv-algebras,11,0
reducts,11,0
generalized quantifiers,11,0
ltl,11,0
mutations,11,0
fatigue,11,0
dsm,11,0
confluence,11,0
biometric authentication,11,0
rare events,11,0
power analysis,11,0
load forecasting,11,0
consumer 's,11,0
fa,11,0
deep cnn,11,0
rework,11,0
response time,11,0
feature interactions,11,0
the upper,11,0
thermal imaging,11,0
local structure,11,0
childhood,11,0
its solution,11,0
parkinson disease,11,0
linear model,11,0
k-nearest neighbors,11,0
a rule,11,0
its impacts,11,0
a dataset,11,0
refactoring,11,0
self-management,11,0
the governance,11,0
sample size,11,0
the onset,11,0
energetics,11,0
many-core architectures,11,0
a security,11,0
nf,11,0
fanets,11,0
multiple eavesdroppers,11,0
single-server queues,11,0
heavy traffic,11,0
the combinatorics,11,0
asymptotic behaviour,11,0
inversions,11,0
a partition,11,0
power converter,11,0
vibration suppression,11,0
lcl,11,0
grid-connected inverters,11,0
excitation,11,0
containment control,11,0
deadline,11,0
lan,11,0
hints,11,0
bootstrapping,11,0
ein erfahrungsbericht,11,0
buchbesprechungen,11,0
informationssysteme,11,0
portugal,11,0
inter,11,0
narrowband internet,11,0
icirc,11,0
linear system,11,0
college,11,0
green internet,11,0
cmos circuits,11,0
digital calibration,11,0
65 nm,11,0
capacitive sensors,11,0
pa,11,0
topography,11,0
permutation trinomials,11,0
paintings,11,0
gpu architectures,11,0
efficient execution,11,0
the return,11,0
moment invariants,11,0
crowdsourced data,11,0
reversibility,11,0
shared-memory multiprocessors,11,0
much,11,0
nonlinear diffusion,11,0
hamilton-jacobi equations,11,0
archive,11,0
michael,11,0
the cortex,11,0
diffusion mri,11,0
orbit,11,0
a testbed,11,0
a glimpse,11,0
chair,11,0
the sky,11,0
the methods,11,0
competitive analysis,11,0
vineyards,11,0
cyber-physical system,11,0
2013 poster,11,0
ip traceback,11,0
fapar,11,0
spectral reflectance,11,0
robust pca,11,0
multi-view,11,0
retransmission,11,0
endomorphisms,11,0
tomorrow,11,0
the trenches,11,0
parsers,11,0
long range,11,0
wired world,11,0
inner mongolia,11,0
geometric algebra,11,0
uav remote,11,0
uganda,11,0
computational diversions,11,0
uwsns,11,0
data protection,11,0
smos,11,0
aster data,11,0
flood mapping,11,0
u-net,11,0
gross,11,0
a uav,11,0
church 's,11,0
self-learning,11,0
a filter,11,0
multimodal optimization,11,0
xcs,11,0
digital inclusion,11,0
nb-iot,11,0
the metaphysics,11,0
carnap 's,11,0
acm algorithms,11,0
divergences,11,0
1d,11,0
tree algorithm,11,0
variational analysis,11,0
the probabilistic,11,0
vegetation phenology,11,0
polynomial interpolation,11,0
multigrid,11,0
high-efficiency video,11,0
jpeg2000,11,0
hci research,11,0
java bytecode,11,0
the fourier,11,0
resting-state,11,0
perceptual,11,0
martin 's,11,0
large cardinals,11,0
wissensmanagement,11,0
commentaires,11,0
pre-service teachers,11,0
timor,11,0
cronin,11,0
impressum,11,0
isogeometric analysis,11,0
au,11,0
hot interconnects,11,0
word length,11,0
nfv,11,0
modellierung,11,0
bericht von,11,0
systemen,11,0
neural responses,11,0
kurzfassung,11,0
comsoc,11,0
young,11,0
sigcse,11,0
game-tree,11,0
benzene,11,0
large molecules,11,0
displacement,15,-4005
projection,62,-51026
inductive inference,18,-7038
precision agriculture,33,-22044
authentication protocols,12,-1056
qualitative research,12,-1056
mixtures,95,-84075
detectors,15,-4080
adaptive algorithms,20,-9080
adaptive filters,20,-9080
the persistence,11,-99
human detection,15,-4110
overlapping,12,-1116
norm minimization,12,-1140
analogies,13,-2236
infinite,18,-7272
the visualization,13,-2301
conformance,15,-4350
society briefs,26,-15366
unmanned vehicles,13,-2379
comprehensive analysis,19,-8379
statistical,55,-44385
minimum degree,22,-11418
high throughput,13,-2431
high frequency,13,-2431
new perspectives,32,-21440
the emergence,94,-83472
signal analysis,14,-3486
flow graphs,12,-1500
visions,11,-506
artificial vision,11,-517
duration,12,-1524
violation,11,-528
the exploitation,14,-3528
batch scheduling,13,-2535
harmonic distortion,12,-1536
summarization,51,-40545
image quality,36,-25560
sar imagery,36,-25560
unified approach,11,-561
automatic verification,15,-4590
automatic design,15,-4590
simulation model,16,-5616
hardware-in-the-loop simulation,16,-5616
portable devices,12,-1644
probabilistic inference,17,-6647
accuracy assessment,27,-16686
stable,30,-19710
random permutations,13,-2717
random walk,13,-2717
random matrices,13,-2717
a random,13,-2717
sphere,11,-726
concurrent,12,-1728
multi-class classification,24,-13728
medical imaging,33,-22737
the utilization,19,-8740
release,16,-5744
large deviations,14,-3766
facilities,36,-25812
the parameters,62,-51832
detection system,14,-3836
boundary detection,14,-3836
motion detection,14,-3836
depth data,11,-847
image data,35,-24850
frequency offset,13,-2860
files,17,-6902
approximations,131,-120913
convex relaxation,11,-913
energy minimization,39,-28938
future challenges,43,-32938
priority queues,16,-5968
network protocols,11,-968
index modulation,22,-11990
lilog,10,0
ease,10,0
algebraic specifications,10,0
proximal methods,10,0
heterogeneous servers,10,0
ear,10,0
assumption,10,0
flooding,10,0
signcryption,10,0
vector problem,10,0
linear cryptanalysis,10,0
exponentiation,10,0
evaluation methods,10,0
x.,10,0
bist,10,0
negotiations,10,0
mix,10,0
face-to-face,10,0
exercise,10,0
perceptual grouping,10,0
neuronal,10,0
anesthesia,10,0
auditory,10,0
theta,10,0
neural control,10,0
sight,10,0
source software,10,0
internet security,10,0
gsm,10,0
gprs,10,0
mobile health,10,0
network mobility,10,0
automata theory,10,0
organizational memory,10,0
limit theorems,10,0
genetics,10,0
averages,10,0
sociology,10,0
bio-inspired algorithms,10,0
anns,10,0
terminology,10,0
inclusive design,10,0
finger,10,0
semistructured data,10,0
cluster-based,10,0
interpretability,10,0
wire,10,0
a qos,10,0
randomized algorithms,10,0
practical algorithms,10,0
a glance,10,0
transducers,10,0
haptic,10,0
navigation system,10,0
fpga-based,10,0
semantic data,10,0
etl,10,0
diagonal,10,0
graph mining,10,0
neuroevolution,10,0
tagging,10,0
mathematical theory,10,0
plausibility,10,0
aerial,10,0
raster,10,0
anonymization,10,0
emergency evacuation,10,0
trial,10,0
query evaluation,10,0
sea ice,10,0
weighted regression,10,0
fidelity,10,0
skyline queries,10,0
curation,10,0
polymer,10,0
optics,10,0
rationale,10,0
picture,10,0
obstacle,10,0
portable,10,0
a threat,10,0
redundant robots,10,0
nondifferentiable optimization,10,0
plane algorithm,10,0
duality theory,10,0
a bayesian,10,0
feature reduction,10,0
resampling,10,0
internet traffic,10,0
gaussian mixture,10,0
finger vein,10,0
binarization,10,0
contextual,10,0
pre-processing,10,0
azimuth,10,0
lbp,10,0
template,10,0
iterative solution,10,0
a form,10,0
rankings,10,0
motor control,10,0
oscillator,10,0
quantum algorithms,10,0
list decoding,10,0
ram,10,0
lattice boltzmann,10,0
extreme events,10,0
modeling approaches,10,0
tunneling,10,0
centrality,10,0
online forums,10,0
collaborations,10,0
social data,10,0
the blogosphere,10,0
entrepreneurs,10,0
group recommendations,10,0
structuralism,10,0
election,10,0
dbpedia,10,0
relational algebra,10,0
dbms,10,0
health informatics,10,0
database system,10,0
pipe,10,0
backup,10,0
data cleaning,10,0
certain,10,0
finiteness,10,0
object identification,10,0
icons,10,0
data stream,10,0
object retrieval,10,0
optimizer,10,0
ssd,10,0
contextual grammars,10,0
linda,10,0
amdahl 's,10,0
biomedical research,10,0
urban mobility,10,0
smarter,10,0
human rights,10,0
honour,10,0
a chance,10,0
touch,10,0
the dark,10,0
fuel,10,0
sale,10,0
global dynamics,10,0
fast convergence,10,0
optimal use,10,0
peers,10,0
sellers,10,0
bidders,10,0
pareto optimality,10,0
chatbots,10,0
train,10,0
workload,10,0
bilateral teleoperation,10,0
biometric recognition,10,0
magnetic sensors,10,0
lead time,10,0
carbon dioxide,10,0
economic assessment,10,0
cost reduction,10,0
sequence-dependent setups,10,0
dissipativity analysis,10,0
blood,10,0
ph,10,0
ethylene,10,0
retrospective,10,0
online identification,10,0
crystallization,10,0
environmental impact,10,0
thermal modeling,10,0
soft sensor,10,0
the kinetics,10,0
a trade-off,10,0
a controller,10,0
control approach,10,0
the optimal,10,0
t.,10,0
smart factory,10,0
structural design,10,0
opinion dynamics,10,0
detectability,10,0
a swarm,10,0
the approximability,10,0
degree sequences,10,0
lookahead,10,0
the program,10,0
retail,10,0
retailers,10,0
consumer behavior,10,0
quasi,10,0
gold,10,0
advantage,10,0
impatient customers,10,0
creating,10,0
mobile wimax,10,0
congruence,10,0
wave propagation,10,0
fabrics,10,0
white noise,10,0
hardware support,10,0
stakeholders ',10,0
opinion formation,10,0
passenger,10,0
alpha,10,0
optimal sizing,10,0
tcp traffic,10,0
a multimedia,10,0
parametric analysis,10,0
vibration analysis,10,0
incomplete,10,0
iterative computation,10,0
blockchains,10,0
electronic word,10,0
informetrics,10,0
reminiscences,10,0
polynomial matrices,10,0
its verification,10,0
the zeros,10,0
exact computation,10,0
morphological,10,0
invertibility,10,0
one variable,10,0
subroutines,10,0
hybrid automata,10,0
the mapping,10,0
self-healing,10,0
a wavelet,10,0
isabelle/hol,10,0
auto,10,0
recursive computation,10,0
stokes equations,10,0
sph,10,0
anova,10,0
the 2d,10,0
c programs,10,0
general relativity,10,0
thousands,10,0
semiconductors,10,0
anisotropy,10,0
md,10,0
its derivatives,10,0
molecular docking,10,0
a derivation,10,0
galerkin method,10,0
tea,10,0
solution method,10,0
formalism,10,0
flood,10,0
penalty,10,0
personalized recommendations,10,0
the users,10,0
prentice hall,10,0
batches,10,0
literature survey,10,0
environmental scanning,10,0
data association,10,0
personas,10,0
harq,10,0
repetition,10,0
transmitter,10,0
dimensioning,10,0
feedback delay,10,0
the k,10,0
faster-than-nyquist signaling,10,0
batch verification,10,0
60 ghz,10,0
ku,10,0
theoretical approach,10,0
space-time block,10,0
single carrier,10,0
imbalance,10,0
modern,10,0
unicast,10,0
steady-state analysis,10,0
their performance,10,0
voltage control,10,0
loads,10,0
interference reduction,10,0
a polygon,10,0
bidirectional,10,0
mobile platforms,10,0
the vicinity,10,0
amplify-and-forward relaying,10,0
coping,10,0
the beholder,10,0
digital repositories,10,0
disability,10,0
the self,10,0
a website,10,0
a factor,10,0
readers ',10,0
cognitive modeling,10,0
progress report,10,0
flickr,10,0
increase,10,0
the war,10,0
efforts,10,0
hope,10,0
inspiration,10,0
1/2,10,0
spatial relationships,10,0
the fog,10,0
innovativeness,10,0
slovenia,10,0
adverse events,10,0
the aftermath,10,0
toolbox,10,0
java 's,10,0
experience report,10,0
way,10,0
c/c,10,0
kleene algebra,10,0
modalities,10,0
a value,10,0
awards,10,0
inf,10,0
cosine,10,0
contraction,10,0
analyzer,10,0
axiom,10,0
cmps,10,0
censoring,10,0
exponentially weighted,10,0
misclassification,10,0
manufacturing processes,10,0
fourier analysis,10,0
sparse pca,10,0
shrinkage,10,0
kriging,10,0
bayesian model,10,0
hybrid architecture,10,0
elan,10,0
interval-valued,10,0
curvelet,10,0
the inversion,10,0
exponential synchronization,10,0
compressive strength,10,0
search algorithm,10,0
residual,10,0
exponential convergence,10,0
human brain,10,0
vikor method,10,0
the maintenance,10,0
program slicing,10,0
failure mode,16,-6000
emd,10,0
comparative performance,10,0
early diagnosis,10,0
pcb,10,0
texture synthesis,10,0
cardiovascular disease,10,0
magnetic properties,10,0
svr,10,0
the union,10,0
antichains,10,0
outerplanar graphs,10,0
a rectangle,10,0
deletions,10,0
edge-bipartite graphs,10,0
recognizability,10,0
triples,10,0
path graphs,10,0
transversals,10,0
binary matrices,10,0
-2,10,0
design problem,10,0
cluster ensembles,10,0
real data,10,0
its applicability,10,0
revocation,10,0
sensitive data,10,0
microsoft,10,0
campus,10,0
person identification,10,0
runtime verification,10,0
coverings,10,0
combinators,10,0
parallel computations,10,0
immunity,10,0
path relinking,10,0
formalisation,10,0
bisimulations,10,0
spikes,10,0
closure properties,10,0
kernel regression,10,0
learnability,10,0
semi,10,0
sequent calculus,10,0
scores,10,0
computational method,10,0
word embedding,10,0
progressive,10,0
limited,10,0
smartphone sensors,10,0
economic design,10,0
breast masses,10,0
steel,10,0
chua 's,10,0
complex system,10,0
multimodal biometrics,10,0
their interactions,10,0
chance discovery,10,0
seizures,10,0
fuzzy mathematics,10,0
public administration,10,0
collaborative design,10,0
tsallis entropy,10,0
sap,10,0
type 2,10,0
toolkit,10,0
ecosystem,10,0
discover,10,0
evaluation method,10,0
one class,10,0
surveillance videos,10,0
the variety,10,0
k-means algorithm,10,0
lung,10,0
geographically,10,0
change point,10,0
on-chip interconnects,10,0
lans,10,0
nd,10,0
peak,10,0
congestion avoidance,10,0
network connectivity,10,0
compressive sampling,10,0
pre,10,0
anonymous authentication,10,0
individual characteristics,10,0
hardware design,10,0
simplicial complexes,10,0
factorizations,10,0
lengths,10,0
the discrepancy,10,0
conjectures,10,0
a 2d,10,0
strict complementarity,10,0
the localization,10,0
gaze,10,0
linear arrays,10,0
bearings,10,0
phase-locked loop,10,0
smart sensors,10,0
kinematic control,10,0
pm,10,0
future developments,10,0
a pmsm,10,0
three-phase inverters,10,0
sensor system,10,0
manipulators,10,0
pole placement,10,0
on-chip,10,0
kinds,10,0
observational data,10,0
urdu,10,0
parallel corpora,10,0
fallstudie,10,0
logiciels,10,0
articulation,10,0
the controllability,10,0
haar wavelets,10,0
the rule,10,0
cloud platform,10,0
pythagorean,10,0
optimizing,10,0
socs,10,0
third-order,10,0
the generalization,10,0
testbed,10,0
enablers,10,0
nocs,10,0
oman,10,0
pc,10,0
requirements elicitation,10,0
ecosystems,10,0
sequent calculi,10,0
dutch,10,0
well-posedness,10,0
social dynamics,10,0
diabetes mellitus,10,0
pilot study,10,0
coronary arteries,10,0
shape analysis,10,0
polygonal meshes,10,0
shape optimization,10,0
a lot,10,0
the 1990s,10,0
privacy-preserving data,10,0
the atmosphere,10,0
secure outsourcing,10,0
multi-scale analysis,10,0
moisture content,10,0
corn,10,0
field spectroscopy,10,0
lossy compression,10,0
croplands,10,0
point cloud,10,0
differential cryptanalysis,10,0
thompson 's,10,0
research frontier,10,0
sigplan,10,0
recursive algorithms,10,0
the wire,10,0
geospatial analysis,10,0
central china,10,0
laser scanning,10,0
amsterdam,10,0
